edad,ingresos_mensuales,antiguedad_meses,gasto_anual,visitas_web_mes,puntuacion_satisfaccion,region,canal_preferido,estado_civil,tipo_membresia,segmento_cliente
62,7705.8,48,7648.91,6,3.9,Sureste,Web,Soltero,Basica,Bajo
59,3056.12,0,6324.9,14,7,Sur,App_movil,Divorciado,Plata,Muy_bajo
31,9119.98,13,16618.15,14,7.6,Norte,Tienda,Viudo,Oro,Premium
53,3019.8,71,11241.93,18,5.7,Occidente,App_movil,Union_libre,Oro,Alto
63,6173.32,25,,16,4.5,Occidente,,Soltero,Plata,Medio
46,3995.59,87,10923.84,7,6.9,Norte,Telefono,Casado,Oro,Alto
33,2500,18,4548.28,9,8.3,Sur,App_movil,,Basica,Muy_bajo
42,,65,4179.27,16,5,Centro,Tienda,Casado,Basica,Bajo
46,3997.56,,4461.99,15,5.9,Sureste,Tienda,Divorciado,Basica,Muy_bajo
39,2500,,4632.03,8,6.3,Sur,Web,Union_libre,Basica,Medio
48,6070.53,0,7766.42,4,7.2,Sur,Web,Union_libre,Basica,Bajo
47,2500,69,4199.94,4,7.1,Sur,Web,Casado,Basica,Bajo
35,3949.66,5,6503.99,19,4.8,Occidente,App_movil,Casado,Basica,Bajo
34,5668.14,14,,10,9.2,Centro,Web,Divorciado,Basica,Muy_bajo
38,3078.9,22,5135.42,19,4.3,Centro,Tienda,Casado,Plata,Muy_bajo
40,2633.45,51,2321.26,9,7.7,Norte,Telefono,Divorciado,Basica,Bajo
60,3654.11,129,6165.14,11,5.8,Occidente,Web,Soltero,Basica,Alto
60,9405.8,112,17332.58,22,6.2,Sureste,Tienda,Soltero,Plata,Alto
39,4608.94,20,5719.43,8,7.7,Norte,Web,Union_libre,Basica,Medio
30,2596.3,48,2880.24,5,5.9,Occidente,Web,Divorciado,Basica,Muy_bajo
45,3561.33,27,5444,5,8.8,Sur,Tienda,Soltero,Plata,Bajo
36,188239.86,7,7110.6,15,9.6,Occidente,Tienda,Union_libre,Oro,Premium
36,6738.31,35,8161.27,12,5.4,Sur,App_movil,Soltero,Basica,Muy_bajo
,2500,45,6069.15,169,,Occidente,Web,Soltero,Basica,Bajo
30,2500,9,2901.32,4,5.6,,Tienda,Casado,Basica,Muy_bajo
42,4218.87,72,14504.08,8,5.5,Norte,App_movil,Casado,Oro,Premium
42,2500,50,4951.58,15,8.1,Norte,Tienda,Casado,Plata,Bajo
46,3157.9,30,4010.71,0,7,Norte,Tienda,Soltero,Plata,Bajo
54,4520.77,74,20165.58,12,6.4,Centro,App_movil,Casado,Platino,Premium
41,2500,37,6678.2,10,6.8,Occidente,Tienda,Soltero,Oro,Medio
53,3323.02,17,5278.17,5,9.7,Centro,Web,Divorciado,Plata,Medio
46,2500,71,3609.25,2,7,Sureste,Tienda,Casado,Basica,Alto
38,2652.3,44,3204.16,7,7.8,Occidente,Web,Casado,Basica,Bajo
20,2500,0,6467.94,2,9.7,Occidente,App_movil,Casado,Oro,Medio
66,3049.84,83,5037.02,10,5.2,Centro,Web,Soltero,Basica,Medio
32,4359.03,8,8352.26,13,8.4,Sur,Web,Divorciado,Plata,Bajo
19,5366.02,7,7826.78,4,5,Centro,Tienda,Casado,Plata,Bajo
59,2500,102,6089.56,5,7.9,Sur,App_movil,Casado,Plata,Alto
54,3960.67,46,4876.19,6,6,Norte,Tienda,Casado,Basica,Muy_bajo
35,2500,30,3443.06,6,8.7,Sureste,App_movil,Casado,Basica,Muy_bajo
46,,,782480.79,8,6.4,Centro,Web,Casado,Basica,Premium
33,2970.15,3,6837.69,10,6,Sur,Web,Soltero,Oro,Medio
26,4308.18,20,12641.96,18,7.1,Sureste,Web,Soltero,Oro,Alto
21,2500,21,5765.53,9,5.6,Occidente,Web,Union_libre,Plata,Muy_bajo
65,2836.81,88,4880.58,10,6.1,Centro,App_movil,Soltero,Basica,Bajo
41,2500,47,2753.56,0,7.9,Centro,App_movil,Casado,Basica,Medio
59,3868.42,63,12678.92,8,9.6,Occidente,App_movil,Casado,Platino,Premium
25,2500,1,3751.64,8,6.9,Occidente,App_movil,Union_libre,Basica,Muy_bajo
58,2500,84,6340.85,17,7.3,Centro,Web,Soltero,Plata,Bajo
35,,16,7136.89,2,8.9,Sur,Web,Casado,Plata,Bajo
41,2756.18,56,7340.55,9,6.8,Centro,App_movil,Divorciado,Oro,Alto
33,,19,6697.74,10,7.6,Sureste,App_movil,Soltero,Basica,Medio
32,2560.33,14,5168.44,10,7.5,Sur,Tienda,Casado,Plata,Bajo
42,2500,12,5197.72,3,7.6,Sureste,Tienda,Casado,Oro,Medio
30,2951.88,12,3586.3,11,10,Norte,App_movil,Union_libre,Basica,Muy_bajo
47,2824.21,90,11285.89,14,8.3,Norte,App_movil,Casado,Platino,Premium
37,4768.45,70,6015.29,,3.8,Centro,Telefono,Soltero,Basica,Bajo
49,2540.12,15,6974.44,11,5.7,Occidente,App_movil,Casado,Oro,Bajo
42,4792.26,3,6815.22,18,7.6,Occidente,Tienda,Union_libre,Basica,Muy_bajo
43,2702.63,5,7872.2,13,7.8,Sur,Web,Soltero,Oro,Medio
39,6740.51,47,5199.18,5,8.7,Centro,Telefono,Casado,Basica,Bajo
49,2500,49,3549.05,9,8.4,Sureste,App_movil,Casado,Basica,Bajo
39,,26,4393.29,9,6.5,Centro,App_movil,Soltero,Basica,Muy_bajo
40,2500,6,5152.53,12,6.9,Centro,App_movil,Casado,Basica,Muy_bajo
52,2500,46,6038.83,14,6.1,Centro,App_movil,Soltero,Basica,Muy_bajo
48,4311.87,8,5669.86,13,5.7,Centro,Tienda,Casado,Basica,Muy_bajo
30,3632.45,34,7046.98,18,8.5,Norte,Web,Casado,Plata,Medio
,6744.62,0,11045.79,4,5.9,Occidente,Web,Casado,Plata,Muy_bajo
40,3815.81,30,10562.82,10,8.6,Norte,Tienda,Casado,Oro,Alto
67,4359.9,144,17197.41,2,5.5,Occidente,App_movil,Soltero,Platino,Premium
64,4156.69,84,5268.79,11,6.9,Norte,App_movil,Divorciado,Basica,Alto
42,2500,13,3366.97,,6,Norte,App_movil,Casado,Basica,Muy_bajo
28,3225.96,7,4463.82,13,8.7,Norte,Web,Casado,Basica,Muy_bajo
28,2781.55,26,3069.53,8,6.2,Occidente,App_movil,Casado,Basica,Muy_bajo
18,4801.65,0,4688.03,0,5.3,Norte,Tienda,Casado,Basica,Muy_bajo
62,3126.76,110,7969.36,14,6.5,Centro,Web,Casado,Plata,Alto
52,2635.65,,7061.28,12,6.3,Centro,Tienda,Soltero,Plata,Medio
44,2500,75,4672.23,12,6.6,Centro,App_movil,Union_libre,Basica,Bajo
26,10743.81,23,18533.99,4,9,Occidente,Telefono,Casado,Platino,Premium
18,8093.32,4,,10,8,Sur,App_movil,Union_libre,Basica,Medio
52,2500,5,4408.93,8,6.2,Norte,,Casado,Plata,Muy_bajo
75,3403.4,130,10113.28,19,10,Centro,Tienda,Casado,Platino,Premium
51,3359.41,13,2952.8,4,6.9,Sur,Web,Divorciado,Basica,Muy_bajo
36,2573.77,43,3815.62,6,8.7,Sur,Tienda,Soltero,Basica,Medio
33,3418.16,21,4387.37,13,5.3,Sureste,Tienda,Casado,Basica,Muy_bajo
60,3339.82,72,6465.28,10,7.5,Norte,App_movil,Casado,Basica,Medio
39,4949.6,68,,7,7,Occidente,Tienda,Soltero,Oro,Alto
45,2500,26,4151.77,10,5.1,Sur,Web,Casado,Basica,Muy_bajo
41,3874.65,12,4056.27,13,6.7,Centro,Tienda,Soltero,Basica,Muy_bajo
23,7855.87,20,9891.65,10,8.1,Sur,Tienda,Casado,Basica,Medio
54,3233.99,2,6314.32,15,7.4,Sur,Tienda,Casado,Oro,Bajo
35,8220.06,63,10601.56,10,9.9,Sureste,Telefono,Casado,Plata,Medio
45,2500,20,4832.9,11,4.7,Sur,Tienda,Casado,Plata,Muy_bajo
45,4979.27,8,9424.16,15,7.2,Sureste,Tienda,Soltero,Plata,Muy_bajo
35,3885.82,0,6493.54,13,4.3,Centro,Web,Soltero,Basica,Muy_bajo
18,2500,0,4748,14,7.7,Centro,Web,Union_libre,Basica,Bajo
26,2500,0,4394.59,,7.1,Occidente,Tienda,Union_libre,Plata,Muy_bajo
43,3164.67,26,9080.12,9,9.9,Sur,Tienda,Casado,Oro,Premium
65,6015.32,70,10879.33,8,6.8,Norte,Tienda,Soltero,Plata,Medio
61,2500,114,3554.59,11,7.2,Centro,Tienda,Casado,Plata,Medio
40,8546.16,40,17691.38,18,4.1,Norte,Web,,,Medio
39,2500,36,6851.34,14,6.2,Norte,Tienda,Soltero,Oro,Alto
58,2500,82,5927.74,11,9,Centro,Tienda,Soltero,Plata,Alto
31,2500,0,4732,19,4,Sureste,Web,Casado,Basica,Muy_bajo
51,2500,,2333.39,,4.2,Centro,Telefono,Casado,Basica,Muy_bajo
28,2810.66,17,5988.8,11,4.3,Centro,Tienda,Soltero,Plata,Muy_bajo
59,3294.33,124,4693.64,0,5.5,Norte,App_movil,Union_libre,Basica,Alto
65,4011.45,30,6598.87,,5.1,Norte,Telefono,Casado,Plata,Muy_bajo
,3157,31,9628.67,6,8.5,Occidente,Tienda,Casado,Oro,Alto
55,3268.8,73,5474.24,7,8,Centro,Web,Casado,Basica,Medio
49,5067.63,58,7886.06,6,7.9,Centro,App_movil,Soltero,Plata,Medio
18,3798.88,0,6240.55,15,5.4,Sureste,Web,Soltero,Basica,Muy_bajo
53,2500,108,10977.35,15,9,Centro,App_movil,Casado,Oro,Premium
41,4912.38,12,7006.61,13,4.8,Occidente,App_movil,Divorciado,Basica,Muy_bajo
37,5335.25,29,7343.4,,9.3,Norte,Tienda,Casado,Plata,Medio
43,2896.55,72,4655.29,10,6.3,Centro,Web,Soltero,Basica,Bajo
18,4854.92,15,7387.12,4,6.9,Occidente,Tienda,Casado,Basica,Bajo
35,2960.99,61,5560.47,8,6.5,Occidente,Tienda,Casado,Plata,Bajo
32,5369.76,9,7519.68,21,5.6,Norte,Tienda,Casado,Plata,Muy_bajo
42,8289.62,17,17376.7,15,4.9,Centro,Telefono,Casado,Oro,Alto
37,5008.86,67,7626.8,,6.2,Centro,App_movil,Divorciado,Basica,Medio
18,2500,3,2897.61,7,8.3,Centro,App_movil,Divorciado,Basica,Muy_bajo
29,2910.01,0,4379.75,9,7.4,Centro,App_movil,Soltero,Basica,Muy_bajo
47,3307.93,47,7541.56,11,7.2,Centro,Web,Casado,Plata,Medio
35,9106.32,7,19793.6,14,7.5,Sureste,Tienda,Casado,Oro,Premium
32,2500,41,3062.01,6,5.1,Norte,Tienda,Soltero,Basica,Bajo
38,2506.76,22,4257.22,9,7.2,Occidente,Tienda,Divorciado,Plata,Muy_bajo
18,2661.93,9,3866.18,13,7.9,Sur,Web,Soltero,Basica,Bajo
27,5294.57,32,7555.49,14,5.2,Occidente,Tienda,Casado,Basica,Muy_bajo
35,2500,17,5264.01,13,6,Centro,Tienda,,Plata,Muy_bajo
50,2500,31,4549.68,11,7.5,Norte,Web,Casado,Plata,Bajo
25,2500,0,7535.48,8,4.6,Norte,App_movil,Divorciado,Oro,Bajo
26,2500,26,9417.94,4,5,Centro,App_movil,Divorciado,Platino,Alto
18,3439.28,7,3860.68,10,10,Centro,Tienda,Soltero,Basica,Bajo
51,2500,6,5887.24,10,6.7,Sur,App_movil,Casado,,Muy_bajo
,8297.78,76,11530.28,5,8.4,Sureste,Web,Soltero,Basica,Alto
18,2774.71,0,5427.49,6,8.2,Norte,App_movil,Casado,Plata,Muy_bajo
18,2949.78,5,2894.79,8,7.1,Centro,Web,Casado,Basica,Bajo
47,2500,11,4866.91,14,4.9,Centro,Web,Casado,Basica,Muy_bajo
42,4705.58,21,7167.49,11,4.9,Centro,Tienda,Casado,Plata,Muy_bajo
53,2500,61,7835.94,9,7.8,Sureste,Web,Casado,Oro,Alto
52,2500,26,3499.21,7,7.7,Norte,App_movil,Soltero,Basica,Muy_bajo
54,4710.05,32,19414.48,14,10,Occidente,App_movil,Soltero,Oro,Premium
46,6171.29,57,8051.2,5,8.8,Sur,Tienda,Soltero,Basica,Medio
36,2500,30,6943.29,5,7.5,Occidente,Web,Casado,Oro,Alto
29,2500,29,6718.88,7,6.3,Sur,Tienda,Divorciado,Platino,Alto
29,2977.67,26,4229.8,5,8.5,Sureste,Tienda,Union_libre,Basica,Medio
33,2648.29,15,2726.57,1,8.2,Sureste,Tienda,Casado,Basica,Bajo
33,2816.41,25,7130.67,8,7,Norte,Tienda,Casado,Platino,Alto
35,2500,2,6484.81,9,7.3,Sur,Web,Union_libre,Oro,Alto
20,2500,2,647936.24,6,7.2,Sur,App_movil,Soltero,,Premium
34,6352.21,30,5443.99,10,8.4,Sureste,Tienda,Soltero,Basica,Muy_bajo
42,2500,70,3665.02,10,7.1,Centro,Tienda,Casado,Basica,Muy_bajo
43,4198.07,69,5228.97,21,3.4,Sureste,Tienda,Casado,Basica,Bajo
55,10093.72,105,14058.68,9,8.1,Sur,Tienda,Casado,Basica,Premium
26,6360.85,14,7108.55,1,7.8,Sureste,Tienda,Soltero,Plata,Muy_bajo
21,2500,1,5762.43,15,5.1,Norte,App_movil,Soltero,Plata,Bajo
38,2557.49,12,3661.54,8,7.8,Centro,Telefono,Union_libre,Plata,Bajo
18,11272.51,8,14958.87,10,9.3,Sureste,App_movil,Casado,Basica,Bajo
48,10704.28,52,10575.05,7,7.6,,App_movil,Soltero,Basica,Alto
38,2500,42,5369.64,15,5,Occidente,Web,Union_libre,Basica,Bajo
65,2500,20,5586.39,8,7,Sur,App_movil,Casado,Plata,Muy_bajo
31,4582.04,55,6703.91,14,,Centro,Tienda,Casado,Plata,Bajo
55,2500,10,4438.59,10,6.3,Sur,Tienda,Casado,Plata,Muy_bajo
37,6382.17,29,5551.76,7,6.9,Norte,Tienda,Divorciado,Basica,Medio
18,2571.63,13,5591.33,0,7.4,Centro,Telefono,Soltero,Platino,Premium
32,6103.12,15,7941.73,5,7.7,Sureste,Web,Casado,Plata,Muy_bajo
30,2500,35,2682.07,111,7.4,Sureste,Tienda,Casado,Basica,Muy_bajo
47,3529.3,42,3957.26,5,,Occidente,Tienda,Soltero,Basica,Bajo
34,2500,22,4728.22,16,7.3,Norte,Tienda,Casado,Plata,Muy_bajo
18,2500,0,5087.34,17,9.6,,Web,,Basica,Medio
37,2500,0,2848.08,8,7.8,Centro,Tienda,Soltero,Basica,Bajo
27,2500,13,3900.82,7,7.6,Occidente,Web,Soltero,Basica,Muy_bajo
39,3620.18,35,7418.73,0,7.9,Norte,App_movil,Casado,Oro,Alto
30,2500,9,5182.09,13,6.5,Sur,Tienda,Soltero,Plata,Muy_bajo
33,6209.42,,6008.8,8,8.9,Occidente,Telefono,Casado,Basica,Bajo
70,4563.58,0,5756.09,9,5.9,Norte,Tienda,Union_libre,Plata,Muy_bajo
45,2500,19,3075.68,11,7.5,Occidente,Tienda,Union_libre,Basica,Bajo
35,2500,45,2426.23,10,5.3,Centro,Tienda,Soltero,Basica,Muy_bajo
41,,54,5819.34,11,5.3,Centro,Tienda,Casado,Oro,Alto
39,9146.76,59,16909.08,11,6.5,,Telefono,Soltero,Oro,Premium
55,2500,98,6387.15,5,6.2,Sureste,Tienda,Union_libre,Oro,Premium
32,3202.1,33,7880.5,8,7.6,,Tienda,Casado,Oro,Medio
24,2923.04,6,,13,5.6,Norte,Web,Union_libre,Plata,Muy_bajo
31,3595.14,16,6216.24,5,4.5,Occidente,Tienda,Casado,Oro,Medio
41,4464.99,65,16661.41,16,7,Occidente,App_movil,Soltero,Platino,Premium
43,2500,84,4201.52,9,,Norte,Tienda,Casado,Basica,Bajo
34,11771.06,41,13827.43,10,8.5,Sur,App_movil,Union_libre,Plata,Alto
37,2500,25,5369.5,12,8.1,Sureste,App_movil,,Basica,Muy_bajo
55,,10,9145.91,6,5.3,Norte,,Casado,Basica,Muy_bajo
47,2500,33,3494.79,10,8.2,Sur,Tienda,Union_libre,Plata,Medio
32,2500,23,3855.67,6,6,Occidente,Tienda,Casado,Plata,Muy_bajo
43,2500,37,,5,7.2,Norte,Telefono,Casado,Basica,Muy_bajo
39,2500,0,3050.38,6,6.6,Occidente,Tienda,Casado,Plata,Muy_bajo
57,2500,115,10333.84,7,8.2,Norte,Tienda,Casado,Platino,Premium
42,4794.63,49,,13,5.6,Sur,,Union_libre,Basica,Bajo
40,4428.34,53,8508.61,13,7.9,Centro,Web,Soltero,Basica,Medio
41,11527.65,0,13175.81,14,7.8,Centro,Tienda,Soltero,Basica,Bajo
51,3481.23,45,4751.17,6,6.7,Occidente,App_movil,Casado,Basica,Muy_bajo
33,3680.39,26,9404.61,10,6.8,Sureste,App_movil,Soltero,Plata,Bajo
46,,12,6815.17,7,7.1,Centro,Tienda,Divorciado,Basica,Muy_bajo
33,3669.08,15,11423.62,9,5.3,Occidente,Tienda,Soltero,Platino,Premium
44,3571.85,29,6284.6,13,7.2,Sur,Tienda,Soltero,Plata,Medio
30,2500,35,2196.98,5,5.4,Occidente,Tienda,Soltero,Basica,Bajo
41,2500,35,4959.13,13,8.6,Centro,Web,Casado,Basica,Bajo
53,3983.82,94,5704.82,1,6.9,Sureste,Tienda,Soltero,Basica,Medio
45,3492.07,9,10560.1,12,3.9,Sureste,App_movil,Soltero,Platino,Premium
23,3958.93,20,6571.58,0,7.1,Norte,Tienda,Casado,Plata,Muy_bajo
39,2500,0,4802.63,3,6.2,Occidente,Tienda,Divorciado,Oro,Alto
39,4630.06,65,5960.19,2,8,Centro,Tienda,Union_libre,Plata,Bajo
58,3171.23,13,4895.01,9,7,Occidente,Tienda,Soltero,Plata,Muy_bajo
35,4578.29,30,7843.47,12,6.6,Norte,App_movil,Casado,Basica,Bajo
48,10973.28,59,12769.62,9,6.9,Sur,Tienda,Soltero,Basica,Alto
38,2500,58,4864.72,8,7.5,Occidente,Tienda,Casado,Plata,Bajo
45,2500,60,3806.36,11,7.2,Norte,,Casado,Basica,Bajo
39,,16,3724.02,12,6.3,Occidente,App_movil,Divorciado,Basica,Muy_bajo
34,4274.03,4,16046.13,14,7.2,Occidente,App_movil,Soltero,Platino,Alto
50,2500,59,4016.32,8,8.8,Norte,App_movil,Divorciado,Basica,Bajo
39,2500,61,4801.31,10,8,Centro,Tienda,Casado,Plata,Medio
50,2660.04,39,6663.94,11,6.4,Centro,Web,Divorciado,Oro,Medio
41,2878.86,55,6122.16,10,6.7,Norte,Web,Soltero,Plata,Medio
40,7771.49,36,17571.35,19,8.3,Sur,Web,Union_libre,Oro,Premium
39,2787.49,7,5958.24,11,5.9,Sureste,Tienda,Union_libre,Plata,Bajo
62,4948.05,74,12245.38,15,8.2,Occidente,Web,Union_libre,Oro,Alto
18,2500,5,3743.62,0,9.2,Sureste,Tienda,Soltero,Oro,Alto
,3727.86,20,6866.5,3,5.5,Norte,App_movil,Soltero,Oro,Medio
22,2500,2,4974.6,2,6.6,Norte,Web,Casado,Oro,Medio
44,2658.4,22,3639.88,9,8.4,Centro,Web,Casado,Plata,Muy_bajo
57,8178.21,87,9192.12,0,6.9,Sureste,Web,Soltero,Basica,Alto
47,2992.76,74,8281.09,7,,Sur,Telefono,Soltero,Oro,Alto
40,2603.66,45,2452.01,4,5.1,Sur,App_movil,Soltero,,Muy_bajo
45,5300.6,51,7612.42,8,6.2,Centro,Web,Soltero,Basica,Medio
52,5652.47,37,15524.18,10,7,Sur,Web,Soltero,Platino,Alto
26,3287.42,0,4229.88,4,7.8,Sureste,App_movil,Casado,Basica,Muy_bajo
47,6261.81,17,9476.37,1,4.4,Norte,Web,Casado,Plata,Muy_bajo
45,3979.96,0,6761.69,10,6.8,Occidente,Web,Soltero,Basica,Muy_bajo
,,0,4975.89,16,10,Norte,App_movil,Union_libre,Basica,Muy_bajo
29,2500,24,6635.19,8,6.8,Norte,Telefono,Soltero,Oro,Medio
18,2500,0,4517.23,,5.9,Sur,App_movil,Casado,Oro,Medio
25,4745.57,13,9191.98,12,7.3,Occidente,App_movil,Soltero,Plata,Medio
56,3647.2,121,10093.2,16,8.3,Sur,App_movil,Soltero,Oro,Premium
55,2500,20,3320.29,0,5.5,Sur,Tienda,Union_libre,Plata,Muy_bajo
38,,25,7045.11,15,7.1,Centro,Tienda,,Basica,Bajo
45,2500,56,10597.71,12,5.7,Centro,App_movil,Viudo,Platino,Premium
21,3428.44,0,6437.32,7,2.9,Sur,Web,Soltero,Plata,Muy_bajo
18,2500,17,7229.45,10,7.3,Sur,Tienda,Casado,Platino,Alto
40,2500,0,4330.79,8,,Occidente,Web,Soltero,Plata,Muy_bajo
38,2500,25,6629.33,15,9.1,Sureste,Tienda,Casado,Platino,Premium
29,2559.7,11,2894.08,13,4.4,Occidente,Web,Soltero,Basica,Muy_bajo
28,2672.42,20,3529.99,14,8.2,Sur,Tienda,Casado,Basica,Muy_bajo
50,2500,105,7618.88,10,7.8,Centro,App_movil,Casado,Oro,Premium
52,5774.45,19,9782.88,9,7.5,Norte,App_movil,Soltero,Basica,Medio
45,2999.92,88,6370.13,,7.8,Centro,Tienda,Soltero,Basica,Bajo
29,2500,22,3778.37,5,7.5,Occidente,Tienda,,Oro,Medio
18,2500,0,4290.96,9,6.4,Occidente,Web,Soltero,Plata,Muy_bajo
51,7955.63,53,12276.66,1,3.4,Centro,Web,Soltero,Plata,Medio
54,3820.24,86,6323.91,6,7.6,Occidente,App_movil,Soltero,Basica,Medio
20,2745.03,0,6209.48,10,7.8,Occidente,Tienda,Soltero,Oro,Medio
51,2500,74,3734.95,,7,Sureste,Telefono,Union_libre,Plata,Muy_bajo
32,2500,19,3442.46,10,6.8,Norte,Tienda,Casado,Basica,Muy_bajo
36,,55,5092.27,9,6.8,,App_movil,Soltero,Plata,Muy_bajo
20,2500,0,7711.71,7,9,Centro,Web,Casado,Platino,Alto
42,6163.06,0,15718.06,14,9.1,Centro,,Casado,Platino,Premium
55,6021.08,124,10911.51,4,6,Sur,Web,Casado,Oro,Premium
24,10539.36,22,11386.71,12,7.2,Norte,App_movil,Casado,Basica,Medio
56,2500,0,2921.29,6,5.3,Norte,Tienda,Union_libre,Basica,Muy_bajo
33,2955,0,4387.25,7,6.7,Sur,Tienda,Casado,Plata,Muy_bajo
48,2500,95,,15,8.5,Centro,Tienda,Soltero,Plata,Medio
18,2620.21,1,5556.4,,8.2,Norte,Web,Soltero,Plata,Muy_bajo
50,3011.37,20,6056.32,,6.8,Occidente,Web,Casado,Oro,Alto
25,2535.03,19,4729.3,1,4.4,Sureste,App_movil,Soltero,Plata,Muy_bajo
,3832.79,40,4618.72,10,4.2,Sur,Web,Soltero,Basica,Bajo
43,4121.06,66,,20,7.1,Occidente,Tienda,Soltero,Basica,Bajo
39,3926.24,45,7462.5,14,6.2,Sur,Web,Soltero,Plata,Medio
57,3739.77,12,3261.15,7,5.2,Centro,Tienda,Casado,Basica,Muy_bajo
32,4442.21,38,7046.13,12,6.5,Norte,Web,Casado,,Medio
35,4501.59,66,8333.65,5,5.2,Norte,Web,Soltero,Plata,Alto
61,3950.14,105,17272.92,11,5.6,Occidente,App_movil,Casado,Platino,Premium
44,2718.68,33,2798.28,0,4.8,Occidente,Telefono,Soltero,Plata,Muy_bajo
47,4257.55,80,5816.48,0,7.4,Sureste,App_movil,Casado,Basica,Medio
107,2500,52,3914.35,19,5.8,Norte,Web,Soltero,Basica,Medio
49,3732.78,60,7368.72,4,6.2,Sureste,App_movil,Casado,Basica,Medio
59,3475.54,65,16005.04,16,8.5,Sureste,Web,Casado,Platino,Premium
44,5763.24,32,23477.52,14,7.8,Sur,App_movil,Soltero,Platino,Premium
46,2500,97,7203.66,5,7.3,Centro,Tienda,Union_libre,Oro,Premium
37,2500,,7625.48,20,4.7,Sur,Web,Soltero,Oro,Bajo
36,6339.3,50,11882.62,,7.9,Norte,Tienda,Casado,Oro,Alto
21,2500,0,4773.19,5,5.5,Centro,Tienda,,Oro,Muy_bajo
40,5620.36,32,6334.3,7,8.1,Norte,Telefono,Casado,Plata,Bajo
